["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 5.7721521019211269e-03 2.4430970722598064e+00
2.2106966597785303e+14 1.1014170576070440e-02 2.8637438526467105e+00
2.2202739509814366e+14 8.1755300928612155e-03 3.3266793241327304e+00
2.2298512421843428e+14 6.0980794038748595e-04 5.1632226369027965e+00
2.2394285333872491e+14 5.5396982702870610e-03 7.1848392384126996e+00
2.2490058245901553e+14 4.3654232049316387e-03 7.6893018823643819e+00
2.2585831157930616e+14 3.0566371831702383e-04 4.5840826784808648e+00
2.2681604069959678e+14 2.1453172054797082e-03 5.5340320994522081e+00
2.2777376981988741e+14 1.2727262535057839e-03 8.4192583946478106e+00
2.2873149894017803e+14 5.2270652337636650e-03 9.3257304742233078e+00
2.2918744246397328e+14 1.8409773780799913e-03 1.0438990999455280e+01
2.2923328453667334e+14 1.4279831649237176e-03 1.0339571857662724e+01
2.2968922806046862e+14 4.9462039118853612e-03 9.9570866112938976e+00
2.3064695718075925e+14 1.4641327376032783e-03 1.1784274581487121e+01
2.3160468630104988e+14 4.4787516284903132e-03 1.3605213403583534e+01
2.3256241542134050e+14 4.2958417814533663e-03 1.4324531180178454e+01
2.3352014454163112e+14 8.1790726157361670e-04 1.5500184878796587e+01
2.3447787366192175e+14 2.3503234969147651e-03 1.8534958879802378e+01
2.3543560278221238e+14 2.0605070437087506e-03 1.9756239430064205e+01
2.3639333190250300e+14 2.9245874758302903e-03 2.1897185051271183e+01
2.3735106102279362e+14 4.5789843903664461e-03 2.2992183901583907e+01
2.3830879014308425e+14 3.5133710524013892e-03 2.4203111173744965e+01
("Port 1","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 7.3274399856219973e-04 2.5964071558229200e+00
2.2106966597785303e+14 7.3034583241122445e-04 2.1970323809338712e+00
2.2202739509814366e+14 7.9073789367120075e-04 1.2049573453547207e+00
2.2298512421843428e+14 9.5891541287336653e-04 7.5195449670926684e-01
2.2394285333872491e+14 6.6720980774204023e-04 1.5381662768235535e-02
2.2490058245901553e+14 9.0459852105217629e-04 -1.0769286140624545e+00
2.2585831157930616e+14 9.0193046389335559e-04 -1.8188387189316597e+00
2.2681604069959678e+14 1.2744280405009283e-03 -3.0606451532830734e+00
2.2777376981988741e+14 1.9534912669671280e-03 -3.5991391708534057e+00
2.2873149894017803e+14 1.9423219902464854e-03 -4.2109096328786428e+00
2.2918744246397328e+14 2.4901194682985508e-03 -1.4948818079435915e+00
2.2923328453667334e+14 2.5255940506048440e-03 -1.2380536599514447e+00
2.2968922806046862e+14 2.4203683831224647e-03 1.3564100748798718e+00
2.3064695718075925e+14 2.7861820240244130e-03 9.7403838760981110e-01
2.3160468630104988e+14 2.3787042082841279e-03 4.7234844070972726e-01
2.3256241542134050e+14 2.3506530667602461e-03 -2.5795362327655691e-01
2.3352014454163112e+14 2.2204474849411840e-03 -8.0664063872606473e-01
2.3447787366192175e+14 1.6357739637727158e-03 -1.6903848048239243e+00
