["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 2.8718141966905292e-03 2.6922701512236440e+00
2.2106966597785303e+14 1.0527480750678386e-02 3.0485753390310628e+00
2.2202739509814366e+14 7.6965390790391863e-03 3.3970422118670571e+00
2.2298512421843428e+14 1.9682210372778883e-03 6.0828506520442129e+00
2.2394285333872491e+14 6.1524219143987910e-03 6.8748778814411944e+00
2.2490058245901553e+14 2.5362206003807721e-03 7.3144530773318142e+00
2.2585831157930616e+14 1.9985860112721149e-03 4.2932171076207339e+00
2.2681604069959678e+14 7.6671745516844296e-04 5.2639810957058000e+00
2.2777376981988741e+14 3.5189307897809221e-03 7.9356968347510062e+00
2.2873149894017803e+14 2.9716025458598814e-03 8.6445434042566767e+00
2.2918744246397328e+14 5.3197932101486864e-03 9.7863233107224303e+00
2.2923328453667334e+14 5.3569384480139891e-03 9.9168056057686247e+00
2.2968922806046862e+14 3.3913335183900551e-03 1.1067039297217679e+01
2.3064695718075925e+14 5.8674595532365011e-03 1.1822791453908474e+01
2.3160468630104988e+14 2.8928700724884060e-03 1.2645224300911362e+01
2.3256241542134050e+14 2.4813158648567882e-03 1.5123451707779266e+01
2.3352014454163112e+14 2.4773401477047280e-03 1.6108783809608973e+01
2.3447787366192175e+14 1.4610954168821277e-03 1.8544256320013165e+01
2.3543560278221238e+14 2.3661283832515949e-03 1.9973764887193621e+01
2.3639333190250300e+14 2.7121384766003154e-03 2.1866296049655659e+01
2.3735106102279362e+14 4.2432529197132599e-03 2.3110830467672727e+01
2.3830879014308425e+14 3.7386744415950982e-03 2.4431633160941988e+01
("Port 1","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.8980861642750291e-03 2.8742286422844314e+00
2.2106966597785303e+14 1.8431805510691923e-03 2.1303887110940156e+00
2.2202739509814366e+14 1.8578575934924822e-03 1.1100047983585837e+00
2.2298512421843428e+14 1.8166006944025737e-03 3.2986846213596788e-01
2.2394285333872491e+14 1.3471058947852378e-03 -7.6423979346997883e-01
2.2490058245901553e+14 1.3025309942010072e-03 -1.8613456452401931e+00
2.2585831157930616e+14 8.7005475119947078e-04 -3.3639743710669054e+00
2.2681604069959678e+14 1.5088155030643204e-03 -4.7018225653665056e+00
2.2777376981988741e+14 1.5719209163291223e-03 -5.7638148078429179e+00
2.2873149894017803e+14 2.3540302939078191e-03 -6.8743175134132155e+00
2.2918744246397328e+14 2.1950943383158236e-03 -4.2490325559265569e+00
2.2923328453667334e+14 2.2069414220295459e-03 -3.9708330632986257e+00
2.2968922806046862e+14 2.6899792653767322e-03 -1.3107688291440791e+00
2.3064695718075925e+14 2.6531200652340154e-03 -2.3395371864168917e+00
2.3160468630104988e+14 3.1059021891397974e-03 -3.2140658395057842e+00
2.3256241542134050e+14 2.5142214549511337e-03 -4.1097068667324006e+00
2.3352014454163112e+14 2.3389872655671566e-03 -5.3107655468630490e+00
2.3447787366192175e+14 1.9610881219461747e-03 -6.3883721170541747e+00
2.3543560278221238e+14 2.0530726086279262e-03 -7.8968050940272247e+00
2.3639333190250300e+14 2.6243417051376497e-03 -8.9644893347008239e+00
