

group_span_3(m), Y
0, 0.992856
5e-07, 0.98789
1e-06, 0.982059
1.5e-06, 0.974983
2e-06, 0.966583
2.5e-06, 0.957358
3e-06, 0.946549
3.5e-06, 0.935254
4e-06, 0.922111
4.5e-06, 0.90887
5e-06, 0.893586
5.5e-06, 0.878377
6e-06, 0.861291
6.5e-06, 0.84411
7e-06, 0.825461
7.5e-06, 0.806479
8e-06, 0.786427
8.5e-06, 0.765816
9e-06, 0.744628
9.5e-06, 0.722504
1e-05, 0.700424
1.05e-05, 0.677061
1.1e-05, 0.654162
1.15e-05, 0.629968
1.2e-05, 0.606327
1.25e-05, 0.58162
1.3e-05, 0.557441
1.35e-05, 0.532485
1.4e-05, 0.507949
1.45e-05, 0.483083
1.5e-05, 0.45834
1.55e-05, 0.433846
1.6e-05, 0.409179
1.65e-05, 0.385192
1.7e-05, 0.360968
1.75e-05, 0.337629
1.8e-05, 0.314127
1.85e-05, 0.291656
1.9e-05, 0.269125
1.95e-05, 0.24769
2e-05, 0.226434
2.05e-05, 0.206164
2.1e-05, 0.186433
2.15e-05, 0.167538
2.2e-05, 0.149479
2.25e-05, 0.132196
2.3e-05, 0.115956
2.35e-05, 0.100458
2.4e-05, 0.0861994
2.45e-05, 0.0726568
2.5e-05, 0.0604726
2.55e-05, 0.0490802
2.6e-05, 0.0390344
2.65e-05, 0.0299353
2.7e-05, 0.022123
2.75e-05, 0.0153934
2.8e-05, 0.00990669
2.85e-05, 0.00560114
2.9e-05, 0.0025051
2.95e-05, 0.000647591
3e-05, 2.56855e-07
3.05e-05, 0.000578266
3.1e-05, 0.00240959
3.15e-05, 0.0054071
3.2e-05, 0.00969814
3.25e-05, 0.0150916
3.3e-05, 0.0217928
3.35e-05, 0.0295424
3.4e-05, 0.0385615
3.45e-05, 0.0486334
3.5e-05, 0.059833
3.55e-05, 0.0721665
3.6e-05, 0.0854234
3.65e-05, 0.0998859
3.7e-05, 0.115091
3.75e-05, 0.131529
3.8e-05, 0.148528
3.85e-05, 0.166791
3.9e-05, 0.185425
3.95e-05, 0.205288
4e-05, 0.225455



group_span_3(m), Y
0, 0.0069552
5e-07, 0.0117245
1e-06, 0.0175893
1.5e-06, 0.0247748
2e-06, 0.0329585
2.5e-06, 0.0424746
3e-06, 0.0529319
3.5e-06, 0.0646389
4e-06, 0.0773077
4.5e-06, 0.0910693
5e-06, 0.105829
5.5e-06, 0.121508
6e-06, 0.138232
6.5e-06, 0.155637
7e-06, 0.174202
7.5e-06, 0.193146
8e-06, 0.213339
8.5e-06, 0.23371
9e-06, 0.255245
9.5e-06, 0.276912
1e-05, 0.299541
1.05e-05, 0.322309
1.1e-05, 0.345781
1.15e-05, 0.369491
1.2e-05, 0.393484
1.25e-05, 0.417985
1.3e-05, 0.442234
1.35e-05, 0.467239
1.4e-05, 0.491613
1.45e-05, 0.516757
1.5e-05, 0.541103
1.55e-05, 0.5661
1.6e-05, 0.590199
1.65e-05, 0.614756
1.7e-05, 0.638473
1.75e-05, 0.662213
1.8e-05, 0.685433
1.85e-05, 0.708076
1.9e-05, 0.730529
1.95e-05, 0.751951
2e-05, 0.773326
2.05e-05, 0.793353
2.1e-05, 0.813454
2.15e-05, 0.831875
2.2e-05, 0.850464
2.25e-05, 0.867221
2.3e-05, 0.883937
2.35e-05, 0.899029
2.4e-05, 0.91362
2.45e-05, 0.926904
2.5e-05, 0.939261
2.55e-05, 0.950596
2.6e-05, 0.960549
2.65e-05, 0.969909
2.7e-05, 0.977306
2.75e-05, 0.984559
2.8e-05, 0.989476
2.85e-05, 0.994341
2.9e-05, 0.996925
2.95e-05, 0.999232
3e-05, 0.999501
3.05e-05, 0.999213
3.1e-05, 0.997213
3.15e-05, 0.994226
3.2e-05, 0.990103
3.25e-05, 0.984372
3.3e-05, 0.978135
3.35e-05, 0.969856
3.4e-05, 0.961375
3.45e-05, 0.950792
3.5e-05, 0.940064
3.55e-05, 0.927302
3.6e-05, 0.914418
3.65e-05, 0.899668
3.7e-05, 0.884625
3.75e-05, 0.868182
3.8e-05, 0.851024
3.85e-05, 0.833059
3.9e-05, 0.814032
3.95e-05, 0.794615
4e-05, 0.773976



