["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.3319618712054440e-02 1.8750907355613118e+00
2.2106966597785303e+14 1.1239729545572768e-02 3.6279648096892099e+00
2.2202739509814366e+14 5.0002283466235465e-03 4.5261524244900553e+00
2.2298512421843428e+14 7.5755808687777192e-03 5.7319651151674353e+00
2.2394285333872491e+14 7.7824450430210492e-03 7.8737199305819203e+00
2.2490058245901553e+14 7.2383546537479271e-03 9.9445623595894244e+00
2.2585831157930616e+14 5.4286066032355048e-03 1.2067154042169042e+01
2.2681604069959678e+14 2.8502993236835953e-03 1.3307898997140779e+01
2.2777376981988741e+14 7.8565309949298646e-03 1.4159071202723853e+01
2.2873149894017803e+14 1.2796127137740892e-02 1.6136013977475947e+01
2.2918744246397328e+14 1.2120871407294689e-02 1.7133896179771604e+01
2.2923328453667334e+14 1.1948669602796743e-02 1.7233863284083938e+01
2.2968922806046862e+14 9.3520467921063000e-03 1.8223456827462915e+01
2.3064695718075925e+14 2.2219387681300809e-03 1.9041010170864425e+01
2.3160468630104988e+14 7.2754979244124126e-03 2.0005695084741152e+01
2.3256241542134050e+14 9.6495177427099541e-03 2.2266709699050889e+01
2.3352014454163112e+14 9.3509301540569620e-03 2.4512145796456497e+01
2.3447787366192175e+14 5.9645942934679740e-03 2.6445130373317287e+01
2.3543560278221238e+14 2.5728354849652146e-03 2.6900897473863768e+01
2.3639333190250300e+14 1.0666927511960713e-02 2.8315949673947490e+01
2.3735106102279362e+14 1.4796031211601911e-02 3.0493580248695793e+01
2.3830879014308425e+14 8.3279936093473336e-03 3.2589180995946791e+01
("Port 1","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 8.6605125949140386e-03 -3.0786278873390800e+00
2.2106966597785303e+14 8.1915882172686142e-03 -1.6667373006260255e-02
2.2202739509814366e+14 7.1050894548019784e-03 -3.0940467763761133e+00
2.2298512421843428e+14 6.0454873763626862e-03 -6.1889153963040888e+00
2.2394285333872491e+14 4.8605125182824708e-03 -3.2495569015637300e+00
2.2490058245901553e+14 4.3742941195333562e-03 -6.4191834266954373e-01
2.2585831157930616e+14 4.5181866310491630e-03 2.1339994351800815e+00
2.2681604069959678e+14 4.4311662955922237e-03 5.2186594861190816e+00
2.2777376981988741e+14 5.5861701929138920e-03 8.3420511835044096e+00
2.2873149894017803e+14 6.5707127714677311e-03 1.1386518284593418e+01
2.2918744246397328e+14 6.8715842240567966e-03 1.2807235044937745e+01
2.2923328453667334e+14 6.8576025296978888e-03 1.2953728973225541e+01
2.2968922806046862e+14 6.5841245586960558e-03 1.4421350507669878e+01
2.3064695718075925e+14 4.6140960634660682e-03 1.1324632372553815e+01
2.3160468630104988e+14 3.7608581105273821e-03 1.4376224188809941e+01
2.3256241542134050e+14 4.2960018333819206e-03 1.7233199693853290e+01
2.3352014454163112e+14 4.1194253722270438e-03 2.0083550955339309e+01
2.3447787366192175e+14 4.0042587538439318e-03 2.2951203075372980e+01
2.3543560278221238e+14 4.2547388588530903e-03 2.5995065525563792e+01
2.3639333190250300e+14 5.4244004496636373e-03 2.2892212266731953e+01
2.3735106102279362e+14 5.3412425905229790e-03 2.5937867679902237e+01
2.3830879014308425e+14 3.9412348989646042e-03 2.9075300409882530e+01
("Port 1","mode 1",1,"Port 3",1,"transmission")
(22, 3)
2.2011193685756241e+14 8.1639576388501711e-01 1.7554967993932441e-01
2.2106966597785303e+14 8.2552222739230141e-01 2.4728583377644684e+00
2.2202739509814366e+14 8.3419918042981134e-01 4.7703791961573963e+00
2.2298512421843428e+14 8.4262861933910749e-01 7.0671868168483298e+00
2.2394285333872491e+14 8.5065198704579181e-01 9.3641358236470911e+00
2.2490058245901553e+14 8.5783737484405920e-01 1.1660707659029935e+01
2.2585831157930616e+14 8.6486675930055035e-01 1.3957068754485841e+01
2.2681604069959678e+14 8.7147900742762685e-01 1.6253586447289521e+01
2.2777376981988741e+14 8.7727564815831482e-01 1.8549722156681145e+01
2.2873149894017803e+14 8.8326867573512458e-01 2.0846005162304415e+01
2.2918744246397328e+14 8.8623626324362825e-01 2.1939241559863571e+01
2.2923328453667334e+14 8.8648220734351413e-01 2.2049175669930193e+01
2.2968922806046862e+14 8.8898881837180976e-01 2.3142205833676279e+01
2.3064695718075925e+14 8.9418414188102591e-01 2.5438258198514209e+01
2.3160468630104988e+14 8.9928478820864244e-01 2.7734331833285225e+01
2.3256241542134050e+14 9.0390257450171407e-01 3.0030229129969879e+01
2.3352014454163112e+14 9.0829587745021167e-01 3.2325561004008080e+01
2.3447787366192175e+14 9.1274943827719379e-01 3.4621056949931805e+01
2.3543560278221238e+14 9.1656827559210796e-01 3.6916832591257027e+01
2.3639333190250300e+14 9.2064223919366617e-01 3.9212982315637106e+01
2.3735106102279362e+14 9.2378650945262109e-01 4.1509177040717056e+01
2.3830879014308425e+14 9.2739051628654057e-01 4.3805356452116833e+01
("Port 1","mode 1",1,"Port 4",1,"transmission")
(22, 3)
2.2011193685756241e+14 5.7331630086090246e-01 1.7469325802516946e+00
2.2106966597785303e+14 5.5986332147064155e-01 4.0439703355260601e+00
2.2202739509814366e+14 5.4671225172431359e-01 6.3414197639521426e+00
2.2298512421843428e+14 5.3342633717608512e-01 8.6391211614978243e+00
2.2394285333872491e+14 5.2073547986454305e-01 1.0935954387970384e+01
2.2490058245901553e+14 5.0820051983804460e-01 1.3232384580256140e+01
2.2585831157930616e+14 4.9611114375859200e-01 1.5529295310954524e+01
2.2681604069959678e+14 4.8411805668279456e-01 1.7826672745366469e+01
2.2777376981988741e+14 4.7255018622211853e-01 2.0123320891282695e+01
2.2873149894017803e+14 4.6121028744747139e-01 2.2420087586990849e+01
2.2918744246397328e+14 4.5590241254105768e-01 2.3514089324624798e+01
2.2923328453667334e+14 4.5534655104641836e-01 2.3623940766793645e+01
2.2968922806046862e+14 4.5033575918818558e-01 2.4717079676959496e+01
2.3064695718075925e+14 4.3969188595286024e-01 2.7013015224381967e+01
2.3160468630104988e+14 4.2904818867367039e-01 2.9309881908245316e+01
2.3256241542134050e+14 4.1885302399731467e-01 3.1604717907808340e+01
2.3352014454163112e+14 4.0950854463908765e-01 3.3899924985707578e+01
