["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.1799871463883233e-03 -5.7047201687784910e-01
2.2106966597785303e+14 1.1807240977297338e-03 2.2972324880386958e+00
2.2202739509814366e+14 1.0340076573533740e-03 4.4189843188910576e+00
2.2298512421843428e+14 1.4344515488728519e-03 7.2769005553447235e+00
2.2394285333872491e+14 1.8655612540133448e-03 8.7902193283415926e+00
2.2490058245901553e+14 1.1811418400163079e-03 9.3510964257790015e+00
2.2585831157930616e+14 1.8128042343595720e-03 9.8787648064475491e+00
2.2681604069959678e+14 1.9441439977541213e-03 1.1390920794936738e+01
2.2777376981988741e+14 1.3720480390760777e-03 1.3304136421371213e+01
2.2873149894017803e+14 6.8530560546188493e-04 1.5816685730125457e+01
2.2918744246397328e+14 7.4028496798552378e-04 1.7302975065283285e+01
2.2923328453667334e+14 7.6184523147847976e-04 1.7430932866112219e+01
2.2968922806046862e+14 9.8174786239951317e-04 1.8467597421004925e+01
2.3064695718075925e+14 8.9541412852125806e-04 1.9778043836306928e+01
2.3160468630104988e+14 1.0466973588953773e-03 1.9991529996356931e+01
2.3256241542134050e+14 1.9778052048087360e-03 2.1153435397740246e+01
2.3352014454163112e+14 2.3909229839307595e-03 2.2705044335319005e+01
2.3447787366192175e+14 1.9634603286851058e-03 2.4178127315854447e+01
2.3543560278221238e+14 8.4972111955988110e-04 2.4933575638748724e+01
2.3639333190250300e+14 1.2396062112114579e-03 2.4952113060118982e+01
2.3735106102279362e+14 1.1669054519839893e-03 2.6178591459565361e+01
2.3830879014308425e+14 1.5521957058203497e-04 2.6565583613039461e+01
("Port 1","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 7.0586661938087057e-04 1.1187548184039966e+00
2.2106966597785303e+14 7.2598084922216686e-04 3.6488477438355775e+00
2.2202739509814366e+14 6.5496441461941276e-04 6.1412231258754888e+00
2.2298512421843428e+14 5.8814947633220095e-04 8.6847559709108602e+00
2.2394285333872491e+14 5.0630056943307979e-04 1.1182081943931262e+01
2.2490058245901553e+14 3.8226495680899737e-04 1.3797108225392483e+01
2.2585831157930616e+14 3.4873420424618161e-04 1.6697619894062537e+01
2.2681604069959678e+14 4.6820362203574620e-04 1.9370411065627504e+01
2.2777376981988741e+14 5.7370726501846183e-04 2.1691137387983048e+01
2.2873149894017803e+14 5.5674748921348289e-04 2.3873638421392648e+01
2.2918744246397328e+14 4.9866510384693292e-04 2.4897490298290684e+01
2.2923328453667334e+14 4.9114454492188919e-04 2.5000534147984471e+01
2.2968922806046862e+14 4.0170040785696999e-04 2.6033486309258802e+01
2.3064695718075925e+14 1.6592211976605324e-04 2.8470187467693041e+01
2.3160468630104988e+14 1.6483516590901209e-04 2.6081275260788004e+01
2.3256241542134050e+14 3.3915163795017602e-04 2.8488964206071810e+01
2.3352014454163112e+14 4.2020075192605915e-04 3.0652287679276245e+01
2.3447787366192175e+14 4.1353199318597077e-04 3.2836805651294810e+01
2.3543560278221238e+14 3.6283005047065068e-04 3.5035109457344504e+01
2.3639333190250300e+14 2.3996995517572398e-04 3.7187159290292435e+01
2.3735106102279362e+14 6.2755843038719391e-05 3.4052894108323656e+01
2.3830879014308425e+14 2.2515699231682578e-04 3.1172690261254711e+01
("Port 1","mode 1",1,"Port 3",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.0505614639165100e-01 -1.1084019820699029e+00
2.2106966597785303e+14 9.0997696312691845e-01 9.4410446716421204e-01
2.2202739509814366e+14 9.1456830573797299e-01 2.9963524030081929e+00
2.2298512421843428e+14 9.1883453048036245e-01 5.0483656251939815e+00
