["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 3.9150855031880889e-03 -1.8802551156141836e+00
2.2106966597785303e+14 3.6428207153269086e-03 -1.8967993372130252e+00
2.2202739509814366e+14 3.1695264829029869e-03 -1.2140477249929509e+00
2.2298512421843428e+14 1.6704833502578268e-03 -4.6683160492003002e-02
2.2394285333872491e+14 1.4181083534406673e-03 2.2296805026768016e+00
2.2490058245901553e+14 1.8577459569959532e-03 3.4130729840398768e+00
2.2585831157930616e+14 9.6786389217807947e-04 4.1887823358886251e+00
2.2681604069959678e+14 4.9519314563657507e-04 2.6483734397489109e+00
2.2777376981988741e+14 1.1741490693074842e-03 3.1226342078803535e+00
2.2873149894017803e+14 1.0089272466421622e-03 3.6898226033566424e+00
2.2918744246397331e+14 1.7683809677193929e-03 8.7038717383992348e-01
2.2923328453667338e+14 1.8504344483771240e-03 1.0684436000485009e+00
2.2968922806046866e+14 7.3295765566083314e-04 3.3804492162480351e+00
2.3064695718075928e+14 1.1780518336000040e-03 3.1880818319602677e+00
2.3160468630104991e+14 1.3072167257752250e-03 3.6229300613807984e+00
2.3256241542134053e+14 1.2926060673494194e-03 3.9064032888915672e+00
2.3352014454163116e+14 1.8094713977149914e-03 3.8445751074764001e+00
2.3447787366192178e+14 2.2131079703672082e-03 4.0647758705583605e+00
2.3543560278221241e+14 2.1200347051196738e-03 4.5764321582595517e+00
2.3639333190250303e+14 2.1624669174727801e-03 4.9983201768544490e+00
2.3735106102279366e+14 2.0538283618755388e-03 4.7031434518991260e+00
2.3830879014308428e+14 3.0171455538653661e-03 4.3182880694110981e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 5.5963706914041221e-03 -2.0547377593993068e+00
2.2106966597785303e+14 6.4225179271402231e-03 -1.9783082688055151e+00
2.2202739509814366e+14 5.1364486625906890e-03 -1.6379118296263810e+00
2.2298512421843428e+14 3.1719429447465823e-03 -1.9229109288270239e+00
2.2394285333872491e+14 4.6329112911194558e-03 -1.9818408616480123e+00
2.2490058245901553e+14 4.2929595178013823e-03 -1.4526218693713315e+00
