

wavelength(nm), Y
1362, 0.13464
1361.98, 0.134744
1361.95, 0.134846
1361.93, 0.134946
1361.91, 0.135044
1361.89, 0.13514
1361.86, 0.135235
1361.84, 0.135328
1361.82, 0.135419
1361.8, 0.135509
1361.77, 0.135596
1361.75, 0.135682
1361.73, 0.135767
1361.71, 0.135849
1361.68, 0.13593
1361.66, 0.136009
1361.64, 0.136087
1361.62, 0.136163
1361.59, 0.136237
1361.57, 0.13631
1361.55, 0.136381
1361.53, 0.13645
1361.5, 0.136518
1361.48, 0.136584
1361.46, 0.136649
1361.44, 0.136711
1361.41, 0.136773
1361.39, 0.136832
1361.37, 0.13689
1361.35, 0.136946
1361.32, 0.137001
1361.3, 0.137054
1361.28, 0.137105
1361.26, 0.137154
1361.23, 0.137201
1361.21, 0.137246
1361.19, 0.13729
1361.17, 0.137331
1361.14, 0.13737
1361.12, 0.137407
1361.1, 0.137443
1361.08, 0.137476
1361.05, 0.137506
1361.03, 0.137535
1361.01, 0.137561
1360.99, 0.137585
1360.96, 0.137606
1360.94, 0.137625
1360.92, 0.137642
1360.9, 0.137656
1360.87, 0.137668
1360.85, 0.137677
1360.83, 0.137684
1360.81, 0.137688
1360.79, 0.13769
1360.76, 0.137689
1360.74, 0.137686
1360.72, 0.137681
1360.7, 0.137672
1360.67, 0.137662
1360.65, 0.137648
1360.63, 0.137633
1360.61, 0.137615
1360.58, 0.137594
1360.56, 0.137571
1360.54, 0.137546
1360.52, 0.137518
1360.49, 0.137488
1360.47, 0.137455
1360.45, 0.13742
1360.43, 0.137382
1360.4, 0.137342
1360.38, 0.1373
1360.36, 0.137255
1360.34, 0.137208
1360.31, 0.137159
1360.29, 0.137106
1360.27, 0.137052
1360.25, 0.136995
1360.22, 0.136935
1360.2, 0.136873
1360.18, 0.136808
1360.16, 0.136741
1360.13, 0.136671
1360.11, 0.136599
1360.09, 0.136524
1360.07, 0.136446
1360.04, 0.136365
1360.02, 0.136282
1360, 0.136196
1359.98, 0.136107
1359.95, 0.136015
1359.93, 0.13592
1359.91, 0.135823
1359.89, 0.135723
1359.86, 0.13562
1359.84, 0.135514
1359.82, 0.135405
1359.8, 0.135294
1359.77, 0.135179
1359.75, 0.135062
1359.73, 0.134942
1359.71, 0.134819
1359.68, 0.134693
1359.66, 0.134565
1359.64, 0.134434
1359.62, 0.1343
1359.59, 0.134163
1359.57, 0.134024
1359.55, 0.133882
1359.53, 0.133737
1359.5, 0.133589
1359.48, 0.133439
1359.46, 0.133286
1359.44, 0.133131
1359.42, 0.132972
1359.39, 0.132812
1359.37, 0.132648
1359.35, 0.132482
1359.33, 0.132313
1359.3, 0.132141
1359.28, 0.131966
1359.26, 0.131789
1359.24, 0.131609
1359.21, 0.131426
1359.19, 0.131241
1359.17, 0.131052
1359.15, 0.130861
1359.12, 0.130667
1359.1, 0.13047
1359.08, 0.13027
1359.06, 0.130067
1359.03, 0.129861
1359.01, 0.129652
1358.99, 0.12944
1358.97, 0.129225
1358.94, 0.129007
1358.92, 0.128786
1358.9, 0.128562
1358.88, 0.128335
1358.85, 0.128105
1358.83, 0.127872
1358.81, 0.127636
1358.79, 0.127397
1358.76, 0.127155
1358.74, 0.12691
1358.72, 0.126663
1358.7, 0.126412
1358.68, 0.126159
1358.65, 0.125903
1358.63, 0.125644
