

frequency(GHz), Y
0, 0
0.03, 0.000371394
0.06, 0.000743133
0.09, 0.00111523
0.12, 0.00148772
0.15, 0.0018606
0.18, 0.0022339
0.21, 0.00260765
0.24, 0.00298186
0.27, 0.00335656
0.3, 0.00373177
0.33, 0.00410752
0.36, 0.00448383
0.39, 0.00486074
0.42, 0.00523827
0.45, 0.00561644
0.48, 0.00599529
0.51, 0.00637486
0.54, 0.00675516
0.57, 0.00713624
0.6, 0.00751812
0.63, 0.00790084
0.66, 0.00828443
0.69, 0.00866893
0.72, 0.00905438
0.75, 0.0094408
0.78, 0.00982824
0.81, 0.0102167
0.84, 0.0106063
0.87, 0.010997
0.9, 0.0113889
0.93, 0.011782
0.96, 0.0121763
0.99, 0.012572
1.02, 0.0129689
1.05, 0.0133672
1.08, 0.0137669
1.11, 0.0141681
1.14, 0.0145708
1.17, 0.014975
1.2, 0.0153807
1.23, 0.0157881
1.26, 0.0161972
1.29, 0.0166079
1.32, 0.0170204
1.35, 0.0174346
1.38, 0.0178507
1.41, 0.0182687
1.44, 0.0186886
1.47, 0.0191104
1.5, 0.0195342
1.53, 0.0199601
1.56, 0.020388
1.59, 0.0208181
1.62, 0.0212503
1.65, 0.0216847
1.68, 0.0221214
1.71, 0.0225603
1.74, 0.0230016
1.77, 0.0234453
1.8, 0.0238913
1.83, 0.0243398
1.86, 0.0247908
1.89, 0.0252443
1.92, 0.0257003
1.95, 0.0261589
1.98, 0.0266202
2.01, 0.0270842
2.04, 0.0275508
2.07, 0.0280202
2.1, 0.0284923
2.13, 0.0289673
2.16, 0.0294451
2.19, 0.0299257
2.22, 0.0304093
2.25, 0.0308958
2.28, 0.0313852
2.31, 0.0318777
2.34, 0.0323731
2.37, 0.0328716
2.4, 0.0333732
2.43, 0.0338779
2.46, 0.0343856
2.49, 0.0348966
2.52, 0.0354107
2.55, 0.035928
2.58, 0.0364484
2.61, 0.0369722
2.64, 0.0374991
2.67, 0.0380293
2.7, 0.0385628
2.73, 0.0390996
2.76, 0.0396397
2.79, 0.0401831
2.82, 0.0407299
2.85, 0.04128
2.88, 0.0418334
2.91, 0.0423902
2.94, 0.0429503
2.97, 0.0435139
3, 0.0440807
3.03, 0.044651
3.06, 0.0452246
3.09, 0.0458017
3.12, 0.046382
3.15, 0.0469658
3.18, 0.0475529
3.21, 0.0481434
3.24, 0.0487372
3.27, 0.0493344
3.3, 0.0499349
3.33, 0.0505387
3.36, 0.0511458
3.39, 0.0517563
3.42, 0.05237
3.45, 0.052987
3.48, 0.0536072
3.51, 0.0542306
3.54, 0.0548572
3.57, 0.055487
3.6, 0.05612
3.63, 0.0567561
3.66, 0.0573953
3.69, 0.0580375
3.72, 0.0586828
3.75, 0.0593311
3.78, 0.0599823
3.81, 0.0606365
3.84, 0.0612936
3.87, 0.0619536
3.9, 0.0626163
3.93, 0.0632818
3.96, 0.0639501
3.99, 0.064621
4.02, 0.0652946
4.05, 0.0659708
4.08, 0.0666495
4.11, 0.0673307
4.14, 0.0680143
4.17, 0.0687003
4.2, 0.0693887
4.23, 0.0700793
4.26, 0.070772
4.29, 0.071467
4.32, 0.072164
4.35, 0.0728631
4.38, 0.073564
4.41, 0.0742669
4.44, 0.0749716
4.47, 0.075678
4.5, 0.0763861
4.53, 0.0770959
4.56, 0.0778071
4.59, 0.0785198
4.62, 0.0792338
4.65, 0.0799491
4.68, 0.0806657
4.71, 0.0813833
4.74, 0.0821021
4.77, 0.0828217
4.8, 0.0835423
4.83, 0.0842636
4.86, 0.0849856
4.89, 0.0857082
4.92, 0.0864314
4.95, 0.0871549
4.98, 0.0878788
5.01, 0.0875297
5.04, 0.0850224
5.07, 0.0824972
5.1, 0.0799539
5.13, 0.0773923
5.16, 0.074812
5.19, 0.0722128
5.22, 0.0695944
5.25, 0.0669565
5.28, 0.0642989
5.31, 0.0616213
5.34, 0.0589235
5.37, 0.0562051
5.4, 0.0534659
5.43, 0.0507056
5.46, 0.047924
5.49, 0.0451208
5.52, 0.0422958
5.55, 0.0394486
5.58, 0.0365791
5.61, 0.0336869
5.64, 0.0307719
5.67, 0.0278337
5.7, 0.0248722
5.73, 0.021887
5.76, 0.018878
5.79, 0.0158448
5.82, 0.0127873
5.85, 0.00970527
5.88, 0.00659841
5.91, 0.00346653
5.94, 0.0003094
5.97, -0.00287319
6, -0.00608144
6.03, -0.00931557
6.06, -0.0125758
6.09, -0.0158623
6.12, -0.0191752
6.15, -0.0225148
6.18, -0.0258812
6.21, -0.0292746
6.24, -0.0326952
6.27, -0.0361431
6.3, -0.0396185
6.33, -0.0431215
6.36, -0.0466522
6.39, -0.0502109
6.42, -0.0537976
6.45, -0.0574124
6.48, -0.0610555
6.51, -0.064727
6.54, -0.0684269
6.57, -0.0721553
6.6, -0.0759124
6.63, -0.0796981
6.66, -0.0835126
6.69, -0.0873559
6.72, -0.0912281
6.75, -0.0951291
6.78, -0.099059
6.81, -0.103018
6.84, -0.107006
6.87, -0.111022
6.9, -0.115068
6.93, -0.119142
6.96, -0.123246
6.99, -0.127378
7.02, -0.131538
7.05, -0.135728
7.08, -0.139946
7.11, -0.144193
7.14, -0.148468
7.17, -0.152771
7.2, -0.157103
7.23, -0.161462
7.26, -0.16585
7.29, -0.170265
7.32, -0.174708
7.35, -0.179178
7.38, -0.183676
7.41, -0.1882
7.44, -0.192752
7.47, -0.19733
7.5, -0.201934
7.53, -0.206565
7.56, -0.211221
7.59, -0.215903
7.62, -0.22061
7.65, -0.225343
7.68, -0.2301
7.71, -0.234881
7.74, -0.239687
7.77, -0.244516
7.8, -0.249369
7.83, -0.254245
7.86, -0.259143
7.89, -0.264064
7.92, -0.269007
7.95, -0.273971
7.98, -0.278956
8.01, -0.283962
8.04, -0.288988
8.07, -0.294034
8.1, -0.299099
8.13, -0.304183
8.16, -0.309285
8.19, -0.314406
8.22, -0.319543
8.25, -0.324698
8.28, -0.329869
8.31, -0.335056
8.34, -0.340258
8.37, -0.345474
8.4, -0.350705
8.43, -0.35595
8.46, -0.361208
8.49, -0.366478
8.52, -0.37176
8.55, -0.377053
8.58, -0.382357
8.61, -0.387671
8.64, -0.392995
8.67, -0.398327
8.7, -0.403668
8.73, -0.409016
8.76, -0.414371
8.79, -0.419733
8.82, -0.4251
8.85, -0.430472
8.88, -0.435848
8.91, -0.441228
8.94, -0.446611
8.97, -0.451996
9, -0.457383
9.03, -0.46277
9.06, -0.468158
9.09, -0.473545
9.12, -0.478932
9.15, -0.484316
9.18, -0.489698
9.21, -0.495076
9.24, -0.500451
9.27, -0.50582
9.3, -0.511185
9.33, -0.516543
9.36, -0.521894
9.39, -0.527238
9.42, -0.532574
9.45, -0.537901
9.48, -0.543218
9.51, -0.548525
9.54, -0.553821
9.57, -0.559105
9.6, -0.564376
9.63, -0.569635
9.66, -0.57488
9.69, -0.58011
9.72, -0.585325
9.75, -0.590524
9.78, -0.595706
9.81, -0.600872
9.84, -0.606019
9.87, -0.611148
9.9, -0.616258
9.93, -0.621348
9.96, -0.626417
9.99, -0.631466
10.02, -0.635971
10.05, -0.640193
10.08, -0.644393
10.11, -0.64857
10.14, -0.652724
10.17, -0.656855
10.2, -0.660961
10.23, -0.665044
10.26, -0.669102
10.29, -0.673134
10.32, -0.677142
10.35, -0.681124
10.38, -0.68508
10.41, -0.689011
10.44, -0.692914
10.47, -0.696792
10.5, -0.700642
10.53, -0.704465
10.56, -0.708261
10.59, -0.712029
10.62, -0.715769
10.65, -0.719481
10.68, -0.723165
10.71, -0.72682
10.74, -0.730447
