

wavelength(nm), Y
1565, -31.2819
1564.98, -31.2748
1564.97, -31.2682
1564.95, -31.2622
1564.94, -31.2566
1564.92, -31.2516
1564.91, -31.2471
1564.89, -31.2432
1564.88, -31.2397
1564.86, -31.2368
1564.85, -31.2344
1564.83, -31.2325
1564.82, -31.2312
1564.8, -31.2303
1564.79, -31.23
1564.77, -31.2302
1564.76, -31.231
1564.74, -31.2322
1564.73, -31.234
1564.71, -31.2363
1564.7, -31.2391
1564.68, -31.2424
1564.67, -31.2462
1564.65, -31.2506
1564.64, -31.2555
1564.62, -31.2609
1564.61, -31.2669
1564.59, -31.2734
1564.58, -31.2804
1564.56, -31.2879
1564.55, -31.2959
1564.53, -31.3045
1564.52, -31.3136
1564.5, -31.3232
1564.49, -31.3334
1564.47, -31.3441
1564.45, -31.3554
1564.44, -31.3671
1564.42, -31.3794
1564.41, -31.3923
1564.39, -31.4057
1564.38, -31.4196
1564.36, -31.4341
1564.35, -31.4491
1564.33, -31.4647
1564.32, -31.4808
1564.3, -31.4974
1564.29, -31.5147
1564.27, -31.5324
1564.26, -31.5508
1564.24, -31.5697
1564.23, -31.5891
1564.21, -31.6091
1564.2, -31.6297
1564.18, -31.6509
1564.17, -31.6726
1564.15, -31.6949
1564.14, -31.7178
1564.12, -31.7412
1564.11, -31.7653
1564.09, -31.7899
1564.08, -31.8152
1564.06, -31.841
1564.05, -31.8674
1564.03, -31.8944
1564.02, -31.9221
1564, -31.9503
1563.99, -31.9791
1563.97, -32.0086
1563.96, -32.0387
1563.94, -32.0694
1563.93, -32.1008
1563.91, -32.1327
1563.9, -32.1654
1563.88, -32.1986
1563.86, -32.2325
1563.85, -32.2671
1563.83, -32.3023
1563.82, -32.3382
1563.8, -32.3748
1563.79, -32.412
1563.77, -32.4499
1563.76, -32.4885
1563.74, -32.5278
1563.73, -32.5678
1563.71, -32.6085
1563.7, -32.6499
1563.68, -32.6921
1563.67, -32.7349
1563.65, -32.7785
1563.64, -32.8228
1563.62, -32.8679
1563.61, -32.9137
1563.59, -32.9603
1563.58, -33.0077
1563.56, -33.0559
1563.55, -33.1048
1563.53, -33.1545
1563.52, -33.2051
1563.5, -33.2564
1563.49, -33.3086
1563.47, -33.3616
1563.46, -33.4155
1563.44, -33.4702
1563.43, -33.5257
1563.41, -33.5822
1563.4, -33.6395
1563.38, -33.6978
1563.37, -33.7569
1563.35, -33.817
1563.34, -33.878
1563.32, -33.94
1563.31, -34.0029
1563.29, -34.0668
1563.28, -34.1317
1563.26, -34.1976
1563.25, -34.2645
1563.23, -34.3325
1563.21, -34.4015
1563.2, -34.4716
1563.18, -34.5427
1563.17, -34.615
1563.15, -34.6884
1563.14, -34.7629
1563.12, -34.8386
1563.11, -34.9154
1563.09, -34.9935
1563.08, -35.0728
1563.06, -35.1533
1563.05, -35.2351
1563.03, -35.3182
1563.02, -35.4025
1563, -35.4883
1562.99, -35.5754
1562.97, -35.6638
1562.96, -35.7537
1562.94, -35.8451
1562.93, -35.9379
1562.91, -36.0322
1562.9, -36.1281
1562.88, -36.2255
1562.87, -36.3246
1562.85, -36.4253
1562.84, -36.5277
1562.82, -36.6318
1562.81, -36.7376
1562.79, -36.8453
1562.78, -36.9548
1562.76, -37.0662
1562.75, -37.1795
1562.73, -37.2948
1562.72, -37.4121
1562.7, -37.5316
1562.69, -37.6532
1562.67, -37.777
1562.66, -37.903
1562.64, -38.0314
1562.63, -38.1622
1562.61, -38.2954
1562.6, -38.4312
1562.58, -38.5696
1562.57, -38.7107
1562.55, -38.8545
1562.54, -39.0012
1562.52, -39.1509
1562.51, -39.3037
1562.49, -39.4595
1562.47, -39.6187
1562.46, -39.7812
1562.44, -39.9472
1562.43, -40.1168
1562.41, -40.2902
1562.4, -40.4675
1562.38, -40.6488
1562.37, -40.8342
1562.35, -41.0241
1562.34, -41.2184
1562.32, -41.4175
1562.31, -41.6215
1562.29, -41.8306
1562.28, -42.045
1562.26, -42.265
1562.25, -42.4908
1562.23, -42.7226
1562.22, -42.9608
1562.2, -43.2057
1562.19, -43.4575
1562.17, -43.7166
1562.16, -43.9833
1562.14, -44.258
1562.13, -44.5411
1562.11, -44.833
1562.1, -45.1342
1562.08, -45.445
1562.07, -45.766
1562.05, -46.0976
1562.04, -46.4402
1562.02, -46.7943
1562.01, -47.1605
1561.99, -47.5389
1561.98, -47.93
1561.96, -48.334
1561.95, -48.7507
1561.93, -49.18
1561.92, -49.621
1561.9, -50.0727
1561.89, -50.5331
1561.87, -50.9991
1561.86, -51.4666
1561.84, -51.9294
1561.83, -52.3796
1561.81, -52.8069
1561.8, -53.1984
1561.78, -53.5396
1561.77, -53.8145
1561.75, -54.0083
1561.74, -54.109
1561.72, -54.1099
1561.71, -54.011
1561.69, -53.8187
1561.68, -53.5451
1561.66, -53.205
1561.64, -52.8142
1561.63, -52.3875
1561.61, -51.9376
1561.6, -51.4749
1561.58, -51.0075
1561.57, -50.5414
1561.55, -50.0809
1561.54, -49.629
1561.52, -49.1877
1561.51, -48.7583
1561.49, -48.3413
1561.48, -47.9372
1561.46, -47.5458
1561.45, -47.1671
1561.43, -46.8008
1561.42, -46.4464
1561.4, -46.1036
1561.39, -45.7718
1561.37, -45.4507
1561.36, -45.1397
1561.34, -44.8383
1561.33, -44.5463
1561.31, -44.263
1561.3, -43.9881
1561.28, -43.7213
1561.27, -43.462
1561.25, -43.2101
1561.24, -42.9651
1561.22, -42.7268
1561.21, -42.4948
1561.19, -42.269
1561.18, -42.0489
1561.16, -41.8344
1561.15, -41.6252
1561.13, -41.4211
1561.12, -41.2219
1561.1, -41.0275
1561.09, -40.8376
1561.07, -40.652
1561.06, -40.4707
1561.04, -40.2933
1561.03, -40.1199
1561.01, -39.9502
1561, -39.7841
1560.98, -39.6216
1560.97, -39.4624
1560.95, -39.3064
1560.94, -39.1536
1560.92, -39.0039
1560.91, -38.8571
1560.89, -38.7132
1560.88, -38.5721
1560.86, -38.4336
1560.85, -38.2978
1560.83, -38.1645
1560.82, -38.0337
1560.8, -37.9053
1560.79, -37.7792
1560.77, -37.6554
1560.76, -37.5337
1560.74, -37.4143
1560.73, -37.2969
1560.71, -37.1815
1560.7, -37.0682
1560.68, -36.9567
1560.67, -36.8472
1560.65, -36.7395
1560.64, -36.6336
1560.62, -36.5295
1560.61, -36.4271
1560.59, -36.3264
1560.58, -36.2273
1560.56, -36.1298
1560.54, -36.0339
1560.53, -35.9396
1560.51, -35.8467
1560.5, -35.7554
1560.48, -35.6654
1560.47, -35.5769
1560.45, -35.4898
1560.44, -35.4041
1560.42, -35.3197
1560.41, -35.2366
1560.39, -35.1547
1560.38, -35.0742
1560.36, -34.9949
1560.35, -34.9168
1560.33, -34.8399
1560.32, -34.7642
1560.3, -34.6897
1560.29, -34.6163
1560.27, -34.544
1560.26, -34.4728
1560.24, -34.4027
1560.23, -34.3337
1560.21, -34.2657
1560.2, -34.1988
1560.18, -34.1329
1560.17, -34.068
1560.15, -34.004
1560.14, -33.9411
1560.12, -33.8791
1560.11, -33.8181
1560.09, -33.758
1560.08, -33.6988
1560.06, -33.6406
1560.05, -33.5832
1560.03, -33.5267
1560.02, -33.4712
1560, -33.4164
1559.99, -33.3626
1559.97, -33.3095
1559.96, -33.2573
1559.94, -33.206
1559.93, -33.1554
1559.91, -33.1057
1559.9, -33.0567
1559.88, -33.0086
1559.87, -32.9612
1559.85, -32.9146
1559.84, -32.8687
1559.82, -32.8236
1559.81, -32.7793
1559.79, -32.7357
1559.78, -32.6928
1559.76, -32.6507
1559.75, -32.6092
1559.73, -32.5685
1559.72, -32.5285
1559.7, -32.4892
1559.69, -32.4506
1559.67, -32.4127
1559.66, -32.3754
1559.64, -32.3389
1559.63, -32.303
1559.61, -32.2677
1559.6, -32.2332
1559.58, -32.1992
1559.57, -32.166
1559.55, -32.1333
1559.54, -32.1013
1559.52, -32.07
1559.51, -32.0392
1559.49, -32.0091
1559.48, -31.9797
1559.46, -31.9508
1559.45, -31.9226
1559.43, -31.8949
1559.42, -31.8679
1559.4, -31.8415
1559.39, -31.8156
1559.37, -31.7904
1559.36, -31.7657
1559.34, -31.7417
1559.33, -31.7182
1559.31, -31.6953
1559.3, -31.673
1559.28, -31.6513
1559.27, -31.6301
1559.25, -31.6095
1559.24, -31.5895
1559.22, -31.57
1559.21, -31.5511
1559.19, -31.5328
1559.18, -31.515
1559.16, -31.4977
1559.15, -31.4811
1559.13, -31.4649
1559.12, -31.4494
1559.1, -31.4343
1559.09, -31.4199
1559.07, -31.4059
1559.06, -31.3925
1559.04, -31.3797
1559.03, -31.3673
1559.01, -31.3556
1559, -31.3443
1558.98, -31.3336
1558.97, -31.3234
1558.95, -31.3138
1558.94, -31.3047
1558.92, -31.2961
1558.91, -31.288
1558.89, -31.2805
1558.88, -31.2735
1558.86, -31.267
1558.85, -31.261
1558.83, -31.2556
1558.82, -31.2507
1558.8, -31.2463
1558.78, -31.2425
1558.77, -31.2391
1558.75, -31.2363
1558.74, -31.234
1558.72, -31.2322
1558.71, -31.231
1558.69, -31.2302
1558.68, -31.23
1558.66, -31.2303
1558.65, -31.2312
1558.63, -31.2325
1558.62, -31.2344
1558.6, -31.2368
1558.59, -31.2397
1558.57, -31.2431
1558.56, -31.2471
1558.54, -31.2515
1558.53, -31.2565
1558.51, -31.2621
1558.5, -31.2681
1558.48, -31.2747
1558.47, -31.2818
